Report generated on: 12-09-2022 13:21:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
API,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
INTL.26-2-CAF-BCF.A,        Central African Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.26-2-TCD-BCF.A,        Chad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.26-2-CHL-BCF.A,        Chile,85,85,49,46,48,44,26,26,35,57,66,52,54.44455,61.8,68.51,67.1,63.92015,98.882,114.06745,162.09585,183.99115,223.8971,247.9113,270.477585,294.562415,294.562415,263.132065,157.045805,97.18688,114.84438,187.02824,201.401445,172.372515,172.69035,143.979255,155.10348,169.1940453,180.7772669,190.4536226,225.728382,225.86897,238.6039582
INTL.26-2-CHN-BCF.A,        China,505,450,381,431,438,457,484,494,503,505,494.3705,511.3005,516.7746,540.951,569.9368,581.5198,646.017295,697.32999,724.7167725,782.36851,902.36888,974.234905,1061.28638,1143.42907,1350.30434,1654.50775,1993.46112,2490.06065,2725.576385,3125.271555,3768.46365,4623.545745,5073.91794,5760.123705,6397.24162,6738.15162,7313.30862,8425.91162,9857.229472,10783.80904,11454.79922,12813.64481
INTL.26-2-COL-BCF.A,        Colombia,99,106,106,102,143,144,144,140,146,146,151,155,150.79505,157,162.45,160.68,167.3931,210.83055,221.0719,182.9317,201.2955,215.06835,217.5404,215.06835,224.6034,235.55105,254.9743,266.2751,264.8625,306.88735,320.6602,312.1846,356.32835,377.8705,414.24495,406.47565,385.0155605,375.2016722,407.6988227,412.5529275,413.4728432,414.5233367
INTL.26-2-COM-BCF.A,        Comoros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.26-2-COG-BCF.A,        Congo-Brazzaville,0.4,0.6,0.6,0.7,0.7,2,0.4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2378,6.3567,10.24135,13.06655,18.71695,32.84295,40.61225,41.283235,58.26975,32.77861093,32.77861093,30.5933702,30.37484613,30.6178449,20.49260065,14.2957971,14.6556005
INTL.26-2-COD-BCF.A,        Congo-Kinshasa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35315,0.35315,0.35315,0.35315,0.35315,0.35315,0,0.013601889,0.013426154,0.013426154,0,0
INTL.26-2-COK-BCF.A,        Cook Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.26-2-CRI-BCF.A,        Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.26-2-HRV-BCF.A,        Croatia,--,--,--,--,--,--,--,--,--,--,--,--,96.02,103.75547,91.12,81.93,88.29,98.882,94.29105,93.9379,97.82255,100.2946,92.87845,107.71075,97.11625,94.99735,96.40995,98.422905,104.708975,94.679515,100.259285,87.192735,101.49531,87.36931,70.735945,72.53701,77.7635856,90.9359687,97.3747635,102.207476,106.2658047,102.2238997
INTL.26-2-CUB-BCF.A,        Cuba,0.6,0.3,0.3,0.3,0.1,0.2,0.2,0.8,0.7,1.1,1.14,1.18,1.22,1.25,1.22,1.448404967,1.518545,26.48625,14.126,17.6575,21.189,10.5945,12.36025,13.06655,13.06655,14.126,14.126,21.189,40.9654,40.9654,37.78705,36.37445,36.51571,38.387405,42.378,44.14375,42.024868,37.3081406,34.4717777,33.80282485,31.82608728,31.832238
INTL.26-2-CYP-BCF.A,        Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.26-2-CZE-BCF.A,        Czechia,--,--,--,--,--,--,--,--,--,--,--,--,--,258.824,238.38,284.99,328.111665,332.87919,332.702615,336.12817,326.16934,349.441925,337.32888,341.07227,339.059315,335.245295,328.14698,305.510065,306.781405,290.536505,327.7232,297.105095,296.15159,298.97679,265.63943,277.85842,299.8594781,308.1937473,292.0478481,306.6997538,311.3040108,333.9737203
INTL.26-2-CIV-BCF.A,        Côte d’Ivoire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41,12.7134,21.189,28.252,47.3221,47.67525,47.67525,47.3221,47.3221,45.9095,45.9095,45.9095,52.9725,56.504,56.504,58.446325,57.63408,62.8607,72.18386,72.81953,72.854845,81.5775759,81.5775759,70.43506308,75.13316257,79.86250774,88.125462
INTL.26-2-DNK-BCF.A,        Denmark,0,0,0,2.2,6.9,27,45,58,64,69,73,82,86.59,97.893,108.028585,127.38,148.04048,168.0994,172.3372,178.6939,181.87225,180.636225,180.17713,182.896385,182.86107,176.115905,180.141815,161.001085,162.343055,155.774465,175.58618,148.499575,138.01102,131.619005,112.01918,112.86674,115.0209367,109.9709346,104.6039858,97.28134069,77.27221284,76.0731297
INTL.26-2-DJI-BCF.A,        Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.26-2-DMA-BCF.A,        Dominica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
